method,k,traffic,ir,mean,std,n,ci95
XY,16,hotspot,0.005,682.844,44.4922,5,38.9991
XY,16,hotspot,0.01,791.7042,23.5125,5,20.6096
XY,16,hotspot,0.02,905.0008,32.5892,5,28.5657
XY,16,hotspot,0.04,936.2024,16.9742,5,14.8785
XY,16,hotspot,0.08,983.8518,14.1642,5,12.4155
XY,16,transpose,0.005,239.5254,15.6597,5,13.7264
XY,16,transpose,0.01,284.6926,6.3498,5,5.5659
XY,16,transpose,0.02,414.0602,11.4924,5,10.0736
XY,16,transpose,0.04,512.591,4.0429,5,3.5437
XY,16,transpose,0.08,682.6052,7.1044,5,6.2273
XY,16,uniform,0.005,89.8299,0.6934,5,0.6078
XY,16,uniform,0.01,212.6074,5.6691,5,4.9692
XY,16,uniform,0.02,482.4354,9.9819,5,8.7495
XY,16,uniform,0.04,739.0918,15.4321,5,13.5268
XY,16,uniform,0.08,870.9078,6.6722,5,5.8484
